word_index,address,out_x,out_y,kernel_out,word_hex,value_s32
0,0x03000000,0,0,0,0x0000940C,37900
1,0x03000004,0,0,1,0xFFFF6BF4,-37900
2,0x03000008,0,0,2,0x000001D0,464
3,0x0300000C,1,0,0,0x0000AAB4,43700
4,0x03000010,1,0,1,0xFFFF554C,-43700
5,0x03000014,1,0,2,0x00000218,536
6,0x03000018,2,0,0,0x0000C15C,49500
7,0x0300001C,2,0,1,0xFFFF3EA4,-49500
8,0x03000020,2,0,2,0x00000260,608
9,0x03000024,3,0,0,0x0000D804,55300
10,0x03000028,3,0,1,0xFFFF27FC,-55300
11,0x0300002C,3,0,2,0x000002A8,680
12,0x03000030,4,0,0,0x0000EEAC,61100
13,0x03000034,4,0,1,0xFFFF1154,-61100
14,0x03000038,4,0,2,0x000002F0,752
15,0x0300003C,5,0,0,0x00010554,66900
16,0x03000040,5,0,1,0xFFFEFAAC,-66900
17,0x03000044,5,0,2,0x00000338,824
18,0x03000048,6,0,0,0x00011BFC,72700
19,0x0300004C,6,0,1,0xFFFEE404,-72700
20,0x03000050,6,0,2,0x00000380,896
21,0x03000054,7,0,0,0x000132A4,78500
22,0x03000058,7,0,1,0xFFFECD5C,-78500
23,0x0300005C,7,0,2,0x000003C8,968
24,0x03000060,8,0,0,0x0001494C,84300
25,0x03000064,8,0,1,0xFFFEB6B4,-84300
26,0x03000068,8,0,2,0x00000410,1040
27,0x0300006C,9,0,0,0x00015FF4,90100
28,0x03000070,9,0,1,0xFFFEA00C,-90100
29,0x03000074,9,0,2,0x00000458,1112
30,0x03000078,10,0,0,0x0001769C,95900
31,0x0300007C,10,0,1,0xFFFE8964,-95900
32,0x03000080,10,0,2,0x000004A0,1184
33,0x03000084,11,0,0,0x00018D44,101700
34,0x03000088,11,0,1,0xFFFE72BC,-101700
35,0x0300008C,11,0,2,0x000004E8,1256
36,0x03000090,12,0,0,0x0001A3EC,107500
37,0x03000094,12,0,1,0xFFFE5C14,-107500
38,0x03000098,12,0,2,0x00000530,1328
39,0x0300009C,13,0,0,0x0001BA94,113300
40,0x030000A0,13,0,1,0xFFFE456C,-113300
41,0x030000A4,13,0,2,0x00000578,1400
42,0x030000A8,14,0,0,0x0001D13C,119100
43,0x030000AC,14,0,1,0xFFFE2EC4,-119100
44,0x030000B0,14,0,2,0x000005C0,1472
45,0x030000B4,15,0,0,0x0001E7E4,124900
46,0x030000B8,15,0,1,0xFFFE181C,-124900
47,0x030000BC,15,0,2,0x00000608,1544
48,0x030000C0,16,0,0,0x0001FE8C,130700
49,0x030000C4,16,0,1,0xFFFE0174,-130700
50,0x030000C8,16,0,2,0x00000650,1616
51,0x030000CC,17,0,0,0x00021534,136500
52,0x030000D0,17,0,1,0xFFFDEACC,-136500
53,0x030000D4,17,0,2,0x00000698,1688
54,0x030000D8,18,0,0,0x00022BDC,142300
55,0x030000DC,18,0,1,0xFFFDD424,-142300
56,0x030000E0,18,0,2,0x000006E0,1760
57,0x030000E4,19,0,0,0x00024284,148100
58,0x030000E8,19,0,1,0xFFFDBD7C,-148100
59,0x030000EC,19,0,2,0x00000728,1832
60,0x030000F0,20,0,0,0x0002592C,153900
61,0x030000F4,20,0,1,0xFFFDA6D4,-153900
62,0x030000F8,20,0,2,0x00000770,1904
63,0x030000FC,21,0,0,0x00026FD4,159700
64,0x03000100,21,0,1,0xFFFD902C,-159700
65,0x03000104,21,0,2,0x000007B8,1976
66,0x03000108,22,0,0,0x0002867C,165500
67,0x0300010C,22,0,1,0xFFFD7984,-165500
68,0x03000110,22,0,2,0x00000800,2048
69,0x03000114,23,0,0,0x00029D24,171300
70,0x03000118,23,0,1,0xFFFD62DC,-171300
71,0x0300011C,23,0,2,0x00000848,2120
72,0x03000120,24,0,0,0x000169CC,92620
73,0x03000124,24,0,1,0xFFFE9634,-92620
74,0x03000128,24,0,2,0xFFFFF690,-2416
75,0x0300012C,25,0,0,0x00004A74,19060
76,0x03000130,25,0,1,0xFFFFB58C,-19060
77,0x03000134,25,0,2,0x000008D8,2264
78,0x03000138,26,0,0,0xFFFF3F1C,-49380
79,0x0300013C,26,0,1,0x0000C0E4,49380
80,0x03000140,26,0,2,0xFFFFF720,-2272
81,0x03000144,27,0,0,0xFFFE47C4,-112700
82,0x03000148,27,0,1,0x0001B83C,112700
83,0x0300014C,27,0,2,0x00000968,2408
84,0x03000150,28,0,0,0xFFFD646C,-170900
85,0x03000154,28,0,1,0x00029B94,170900
86,0x03000158,28,0,2,0xFFFFF7B0,-2128
87,0x0300015C,29,0,0,0xFFFD7B14,-165100
88,0x03000160,29,0,1,0x000284EC,165100
89,0x03000164,29,0,2,0xFFFFF7F8,-2056
90,0x03000168,30,0,0,0xFFFD91BC,-159300
91,0x0300016C,30,0,1,0x00026E44,159300
92,0x03000170,30,0,2,0xFFFFF840,-1984
93,0x03000174,31,0,0,0xFFFDA864,-153500
94,0x03000178,31,0,1,0x0002579C,153500
95,0x0300017C,31,0,2,0xFFFFF888,-1912
96,0x03000180,32,0,0,0xFFFDBF0C,-147700
97,0x03000184,32,0,1,0x000240F4,147700
98,0x03000188,32,0,2,0xFFFFF8D0,-1840
99,0x0300018C,33,0,0,0xFFFDD5B4,-141900
100,0x03000190,33,0,1,0x00022A4C,141900
101,0x03000194,33,0,2,0xFFFFF918,-1768
102,0x03000198,34,0,0,0xFFFDEC5C,-136100
103,0x0300019C,34,0,1,0x000213A4,136100
104,0x030001A0,34,0,2,0xFFFFF960,-1696
105,0x030001A4,35,0,0,0xFFFE0304,-130300
106,0x030001A8,35,0,1,0x0001FCFC,130300
107,0x030001AC,35,0,2,0xFFFFF9A8,-1624
108,0x030001B0,36,0,0,0xFFFE19AC,-124500
109,0x030001B4,36,0,1,0x0001E654,124500
110,0x030001B8,36,0,2,0xFFFFF9F0,-1552
111,0x030001BC,37,0,0,0xFFFE3054,-118700
112,0x030001C0,37,0,1,0x0001CFAC,118700
113,0x030001C4,37,0,2,0xFFFFFA38,-1480
114,0x030001C8,38,0,0,0xFFFE46FC,-112900
115,0x030001CC,38,0,1,0x0001B904,112900
116,0x030001D0,38,0,2,0xFFFFFA80,-1408
117,0x030001D4,39,0,0,0xFFFE5DA4,-107100
118,0x030001D8,39,0,1,0x0001A25C,107100
119,0x030001DC,39,0,2,0xFFFFFAC8,-1336
120,0x030001E0,40,0,0,0xFFFE744C,-101300
121,0x030001E4,40,0,1,0x00018BB4,101300
122,0x030001E8,40,0,2,0xFFFFFB10,-1264
123,0x030001EC,41,0,0,0xFFFE8AF4,-95500
124,0x030001F0,41,0,1,0x0001750C,95500
